"http://www.imdb.com/title/tt0126029","Shrek","","","7.9","498767","2004-10-01"
"http://www.imdb.com/title/tt0127388","Ninja Turtles: The Next Mutation","","","4.5","1042","2005-01-01"
"http://www.imdb.com/title/tt0149460","Futurama","","","8.5","169016","2003-02-28"
"http://www.imdb.com/title/tt0149460","Futurama","","","8.5","169016","2003-02-28"
"http://www.imdb.com/title/tt0161220","Air Bud 3: World Pup","","","4.7","2086","2007-02-14"
"http://www.imdb.com/title/tt0165598","That '70s Show","","","8.1","123475","2004-01-06"
"http://www.imdb.com/title/tt0165598","That '70s Show","","","8.1","123475","2004-01-06"
"http://www.imdb.com/title/tt0170016","How the Grinch Stole Christmas","","","6.0","153742","2015-01-14"
"http://www.imdb.com/title/tt0170016","How the Grinch Stole Christmas","","","6.0","153742","2015-01-14"
"http://www.imdb.com/title/tt0176385","Pok?mon","","","7.5","25254","1998-12-06"
"http://www.imdb.com/title/tt0176385","Pok?mon","","","7.5","25254","1998-12-06"
"http://www.imdb.com/title/tt0182576","Family Guy","","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","8.2","253736","2004-07-26"
"http://www.imdb.com/title/tt0199054","Suckers","","","6.7","824","2007-04-29"
"http://www.imdb.com/title/tt0203259","Law & Order: Special Victims Unit","","","8.1","57156","2004-03-07"
"http://www.imdb.com/title/tt0208185","An Extremely Goofy Movie","","","6.4","6542","2016-06-11"
"http://www.imdb.com/title/tt0212671","Malcolm in the Middle","","","8.0","101876","2006-07-20"
"http://www.imdb.com/title/tt0213363","Oggy et les cafards","","","7.7","2148","2002-06-19"
"http://www.imdb.com/title/tt0217869","Unbreakable","","","7.2","274434","2001-01-13"
"http://www.imdb.com/title/tt0222518","Adventures of Sonic the Hedgehog","","","6.3","2188","2011-07-09"
"http://www.imdb.com/title/tt0238414","Mickey's Once Upon a Christmas","","","7.2","4045","2011-12-14"
